id,name,sameAs,sameAsNote,validThrough,census_geoid,census_geoid_12,census_geoid_14,openstates_district,placeholder_id,sch_dist_stateid,state_id,validFrom
ocd-division/country:us/state:tx/county:bastrop/school_district:elgin_isd,elgin isd,,,,4818360,,,,,011902,,
ocd-division/country:us/state:tx/county:bastrop/school_district:mcdade_isd,mcdade isd,,,,4829760,,,,,011905,,
ocd-division/country:us/state:tx/county:bastrop/school_district:smithville_isd,smithville isd,,,,4840550,,,,,011904,,
ocd-division/country:us/state:tx/county:baylor/school_district:seymour_isd,seymour isd,,,,4839780,,,,,012901,,
ocd-division/country:us/state:tx/county:bee/school_district:beeville_isd,beeville isd,,,,4809720,,,,,013901,,
ocd-division/country:us/state:tx/county:bee/school_district:pawnee_isd,pawnee isd,,,,4834410,,,,,013902,,
ocd-division/country:us/state:tx/county:bee/school_district:pettus_isd,pettus isd,,,,4834770,,,,,013903,,
ocd-division/country:us/state:tx/county:bee/school_district:skidmore-tynan_isd,skidmore-tynan isd,,,,4840410,,,,,013905,,
ocd-division/country:us/state:tx/county:bee/school_district:st_mary~s_academy_charter_school,st mary's academy charter school,,,,4800177,,,,,013801,,
ocd-division/country:us/state:tx/county:bell/school_district:academy_isd,academy isd,,,,4807470,,,,,014901,,
ocd-division/country:us/state:tx/county:bell/school_district:bartlett_isd,bartlett isd,,,,4809540,,,,,014902,,
ocd-division/country:us/state:tx/county:bell/school_district:belton_isd,belton isd,,,,4809860,,,,,014903,,
ocd-division/country:us/state:tx/county:bell/school_district:holland_isd,holland isd,,,,4823370,,,,,014905,,
ocd-division/country:us/state:tx/county:bell/school_district:killeen_isd,killeen isd,,,,4825660,,,,,014906,,
ocd-division/country:us/state:tx/county:bell/school_district:richard_milburn_alter_high_school_killeen,richard milburn alter high school (killeen),,,,4800075,,,,,014801,,
ocd-division/country:us/state:tx/county:bell/school_district:rogers_isd,rogers isd,,,,4837710,,,,,014907,,
ocd-division/country:us/state:tx/county:bell/school_district:salado_isd,salado isd,,,,4838580,,,,,014908,,
ocd-division/country:us/state:tx/county:bell/school_district:temple_education_center,temple education center,,,,4800076,,,,,014803,,
ocd-division/country:us/state:tx/county:bell/school_district:temple_isd,temple isd,,,,4842330,,,,,014909,,
ocd-division/country:us/state:tx/county:bell/school_district:transformative_charter_academy,transformative charter academy,,,,4800067,,,,,014802,,
ocd-division/country:us/state:tx/county:bell/school_district:troy_isd,troy isd,,,,4843260,,,,,014910,,
ocd-division/country:us/state:tx/county:bexar/school_district:academy_of_careers_and_technologies_charter_school,academy of careers and technologies charter school,,,,4800199,,,,,015816,,
ocd-division/country:us/state:tx/county:bexar/school_district:alamo_heights_isd,alamo heights isd,,,,4807590,,,,,015901,,
ocd-division/country:us/state:tx/county:bexar/school_district:bexar_county_academy,bexar county academy,,,,4800077,,,,,015809,,
ocd-division/country:us/state:tx/county:bexar/school_district:brooks_academy_of_science_and_engineering,brooks academy of science and engineering,,,,4800268,,,,,015830,,
ocd-division/country:us/state:tx/county:bexar/school_district:city_center_health_careers,city center health careers,,,,4801411,,,,,015832,,
ocd-division/country:us/state:tx/county:bexar/school_district:east_central_isd,east central isd,,,,4817850,,,,,015911,,
ocd-division/country:us/state:tx/county:bexar/school_district:edgewood_isd,edgewood isd,,,,4818150,,,,,015905,,
ocd-division/country:us/state:tx/place:beaumont/ward:1,Beaumont TX ward 1,,,,,,,,,,,
ocd-division/country:us/state:tx/place:beaumont/ward:2,Beaumont TX ward 2,,,,,,,,,,,
ocd-division/country:us/state:tx/place:beaumont/ward:3,Beaumont TX ward 3,,,,,,,,,,,
ocd-division/country:us/state:tx/place:beaumont/ward:4,Beaumont TX ward 4,,,,,,,,,,,
ocd-division/country:us/state:tx/cd:1,Texas's 1st congressional district,,,,cd-4801,,,,,,,
ocd-division/country:us/state:tx/cd:10,Texas's 10th congressional district,,,,cd-4810,,,,,,,
ocd-division/country:us/state:tx/cd:11,Texas's 11th congressional district,,,,cd-4811,,,,,,,
ocd-division/country:us/state:tx/cd:12,Texas's 12th congressional district,,,,cd-4812,,,,,,,
ocd-division/country:us/state:tx/cd:13,Texas's 13th congressional district,,,,cd-4813,,,,,,,
ocd-division/country:us/state:tx/cd:14,Texas's 14th congressional district,,,,cd-4814,,,,,,,
ocd-division/country:us/state:tx/cd:15,Texas's 15th congressional district,,,,cd-4815,,,,,,,
ocd-division/country:us/state:tx/cd:16,Texas's 16th congressional district,,,,cd-4816,,,,,,,
ocd-division/country:us/state:tx/cd:17,Texas's 17th congressional district,,,,cd-4817,,,,,,,
ocd-division/country:us/state:tx/cd:18,Texas's 18th congressional district,,,,cd-4818,,,,,,,
ocd-division/country:us/state:tx/cd:19,Texas's 19th congressional district,,,,cd-4819,,,,,,,
ocd-division/country:us/state:tx/cd:2,Texas's 2nd congressional district,,,,cd-4802,,,,,,,
ocd-division/country:us/state:tx/cd:20,Texas's 20th congressional district,,,,cd-4820,,,,,,,
